,Assurance Logement,possession voiture,Assurance Vie,Assurance Sante,Pondération,ID,Gouvernorat,Delegation
77,Oui,Non,Non,Non,2.27412,78,Tunis,Ettahrir
78,Non,Non,Non,Non,2.15883,79,Tunis,Cité El Khadhra
79,NSP,"Oui, une voiture personelle",Non,NSP,2.32634,80,Tunis,Le Bardo
80,Non,Non,Non,Non,2.32634,81,Tunis,Le Bardo
81,Non,Non,Non,Non,2.27412,82,Tunis,El Hrairia
82,NSP,Non,Non,Non,2.93786,83,Tunis,El Hrairia
83,Non,Non,Non,Non,2.27412,84,Tunis,El Hrairia
84,Non,"Oui, une voiture personelle",Non,Non,2.59911,85,Tunis,Sidi Hassine
85,Non,Non,Non,Non,2.15883,86,Tunis,Sidi Hassine
86,Non,Non,Non,Non,2.32634,87,Tunis,Sidi Hassine
87,Oui,"Oui, une voiture personelle",Oui,Non,2.32634,88,Tunis,El Kabaria
88,NSP,Non,Non,Non,2.27412,89,Tunis,El Kabaria
89,Non,"Oui, une voiture personelle",Non,Non,2.32634,90,Tunis,Sidi El Béchir
90,Non,"Oui, une voiture personelle",Non,Non,2.87869,91,Tunis,La Goulette
91,Non,Non,Non,Non,2.32634,92,Tunis,La Goulette
92,Non,Non,Non,Non,2.93786,93,Tunis,Le Kram
93,NSP,"Oui, une voiture personelle",Non,Non,2.32634,94,Tunis,La Marsa
94,Non,"Oui, une voiture personelle",Non,Non,2.27412,95,Tunis,La Marsa
95,Non,Non,Non,Non,2.93786,96,Tunis,La Marsa
96,Non,Non,Non,Non,2.87869,97,Tunis,La Marsa
97,Non,"Oui, une voiture personelle",Non,Non,2.32634,98,Tunis,La  Medina
98,Non,Non,Non,Non,2.93786,99,Tunis,El Omrane Supérieur
99,Non,Non,Non,Non,2.4257,100,Tunis,Ettahrir
100,Non,"Oui, une voiture personelle",Non,Non,2.59911,101,Tunis,Cité El Khadhra
101,Non,"Oui, une voiture personelle",Non,Non,2.4257,102,Tunis,Le Bardo
102,Non,"Oui, une voiture personelle",Oui,Non,2.12864,103,Tunis,Le Bardo
103,NSP,Non,Non,Non,2.87869,104,Tunis,Le Bardo
104,Non,Non,Non,Non,2.4257,105,Tunis,Sijoumi
105,Non,Non,Non,Non,2.59911,106,Tunis,El Hrairia
106,Non,Non,Non,Non,2.87869,107,Tunis,El Hrairia
107,Non,Non,Non,Non,2.27412,108,Tunis,Sidi Hassine
108,Non,"Oui, une voiture personelle",Non,Non,2.93786,109,Tunis,El Ouardia
109,Oui,Non,Non,Non,2.4257,110,Tunis,Djebel Djelloud
110,Non,"Oui, une voiture personelle",Non,Non,2.87869,111,Tunis,Le Kram
111,Non,"Oui, une voiture personelle",Non,Oui,2.93786,112,Tunis,Le Kram
112,Non,Non,Non,Non,2.93786,113,Tunis,Le Kram
113,Non,"Oui, une voiture personelle",Non,Non,2.4257,114,Tunis,La Marsa
114,Non,"Oui, une voiture personelle",Non,Non,2.12864,115,Tunis,La Marsa
115,NSP,Non,Non,Non,2.87869,116,Tunis,Ettahrir
116,Non,"Oui, une voiture personelle",Non,Oui,2.59911,117,Tunis,La Marsa
117,Non,"Oui, une voiture personelle",Non,Non,2.15883,118,Tunis,El Menzah
118,Non,Non,Non,Non,2.27412,119,Tunis,Ezzouhour
119,Non,Non,Oui,Non,2.93786,120,Tunis,Sidi Hassine
120,Non,"Oui, une voiture personelle",Oui,Oui,2.93786,121,Tunis,El Kabaria
121,Non,Non,Non,Non,2.87869,122,Tunis,Bab Bhar
122,Non,"Oui, une voiture personelle",Non,Non,2.87869,123,Tunis,Bab Souika
123,Non,"Oui, une voiture personelle",Non,Non,2.4257,124,Tunis,El Menzah
124,Non,"Oui, une voiture personelle",Non,Non,2.87869,125,Tunis,Le Bardo
125,Non,Non,Non,Non,2.12864,126,Tunis,Le Bardo
126,Non,"Oui, une voiture personelle",Non,Oui,2.15883,127,Tunis,El Hrairia
127,Non,Non,Non,Oui,2.4257,128,Tunis,El Hrairia
128,NSP,Non,Non,Non,2.27412,129,Tunis,Sidi Hassine
129,Non,"Oui, une voiture personelle",Non,Non,2.12864,130,Tunis,Sidi El Béchir
130,Non,Non,Oui,Oui,2.4257,131,Tunis,La Goulette
131,NSP,"Oui, une voiture personelle",Non,Non,2.12864,132,Tunis,Le Kram
132,Non,"Oui, une voiture personelle",Non,Non,2.27412,133,Tunis,La Marsa
133,Non,Non,Non,Oui,2.32634,134,Tunis,La Marsa
134,Non,"Oui, une voiture personelle",Non,Non,2.87869,135,Tunis,El Omrane Supérieur
135,Non,"Oui, une voiture personelle",Non,Non,2.59911,136,Tunis,Bab Souika
136,Non,Non,Non,Non,2.15883,137,Tunis,Ettahrir
137,Non,Non,Non,Non,2.93786,138,Tunis,El Hrairia
138,Non,Non,Oui,Oui,2.87869,139,Tunis,Sidi Hassine
139,Non,Non,Non,Non,2.27412,140,Tunis,La Goulette
140,Non,"Oui, une voiture personelle",Non,Non,2.87869,141,Tunis,Le Kram
141,Oui,"Oui, une voiture personelle",Non,Oui,2.93786,142,Tunis,La Marsa
142,Non,"Oui, une voiture personelle",Oui,Oui,2.87869,143,Tunis,Carthage
143,Non,"Oui, une voiture personelle",Non,Oui,2.12864,144,Tunis,Bab Bhar
144,Non,"Oui, une voiture personelle",Non,Non,2.4257,145,Tunis,Bab Bhar
145,Non,Non,Non,Non,2.12864,146,Tunis,El Omrane
146,Non,"Oui, une voiture personelle",Non,Non,2.32634,147,Tunis,El Omrane Supérieur
147,Oui,"Oui, une voiture personelle",Non,Non,2.12864,148,Tunis,El Omrane Supérieur
148,Non,"Oui, une voiture personelle",Oui,Oui,2.87869,149,Tunis,Cité El Khadhra
149,Non,Non,Non,Non,2.32634,150,Tunis,Sijoumi
150,Non,Non,Oui,Non,2.12864,151,Tunis,El Hrairia
151,Non,Non,Non,Oui,2.12864,152,Tunis,El Hrairia
152,Non,"Oui, une voiture personelle",Non,Non,2.4257,153,Tunis,Sidi Hassine
153,Non,"Oui, une voiture personelle",Non,Non,2.4257,154,Tunis,Sidi Hassine
154,Non,"Oui, une voiture personelle",Non,Non,2.87869,155,Tunis,Sidi Hassine
155,Oui,"Oui, une voiture personelle",Oui,Oui,2.4257,156,Tunis,El Kabaria
156,Non,"Oui, une voiture personelle",Non,Non,2.59911,157,Tunis,El Kabaria
157,Oui,"Oui, une voiture personelle",Oui,Oui,2.4257,158,Tunis,El Kabaria
158,Non,Non,Non,Non,2.12864,159,Tunis,Djebel Djelloud
159,Oui,Non,Oui,Oui,2.12864,160,Tunis,La Goulette
160,Non,"Oui, une voiture personelle",Non,Non,2.4257,161,Tunis,Le Kram
161,Non,Non,Non,Non,2.59911,162,Tunis,Le Kram
162,Non,"Oui, une voiture personelle",Non,Oui,2.12864,163,Tunis,La Marsa
163,Non,"Oui, une voiture personelle",Non,Oui,2.87869,164,Tunis,La Marsa
164,Non,"Oui, une voiture personelle",Non,Non,2.93786,165,Tunis,La Marsa
165,Non,"Oui, une voiture personelle",Non,Oui,2.93786,166,Tunis,El Omrane
166,Non,"Oui, une voiture personelle",Non,Oui,2.59911,167,Tunis,El Menzah
167,Non,"Oui, une voiture personelle",Non,Non,2.87869,168,Tunis,El Menzah
168,Non,"Oui, une voiture personelle",Oui,Non,2.59911,169,Tunis,Le Bardo
169,NSP,"Oui, une voiture personelle",Non,NSP,2.27412,170,Tunis,Le Kram
170,NSP,"Oui, une voiture personelle",Non,Non,2.32634,171,Tunis,La Marsa
171,Non,"Oui, une voiture personelle",Non,Oui,2.59911,172,Tunis,Carthage
172,Non,"Oui, une voiture personelle",Non,Oui,2.32634,173,Tunis,El Omrane Supérieur
173,NSP,"Oui, une voiture personelle",Non,Non,2.32634,174,Tunis,Le Bardo
174,Non,Non,Non,Non,2.93786,175,Tunis,Ezzouhour
175,NSP,"Oui, une voiture personelle",Non,Non,2.32634,176,Tunis,Sidi Hassine
176,Non,"Oui, une voiture personelle",Non,Non,2.59911,177,Tunis,La Goulette
177,Non,"Oui, une voiture personelle",Non,Non,2.12864,178,Tunis,Le Kram
178,Non,"Oui, une voiture personelle",Non,Non,2.12864,179,Tunis,Bab Souika
179,Non,Non,Non,Non,2.27412,180,Tunis,Sijoumi
180,Non,"Oui, une voiture personelle",Non,Non,2.15883,181,Tunis,Sidi Hassine
181,Non,"Oui, une voiture personelle",Non,Non,2.32634,182,Tunis,Sidi Hassine
182,Non,Non,Non,Non,2.12864,183,Tunis,Sidi El Béchir
183,NSP,Non,Non,Non,2.59911,184,Tunis,Le Kram
184,NSP,Non,Non,Non,2.4257,185,Tunis,El Menzah
185,Non,"Oui, une voiture personelle",Non,Non,2.15883,186,Tunis,Cité El Khadhra
186,Non,Non,Non,Non,2.32634,187,Tunis,El Hrairia
187,Non,Non,Non,Non,2.87869,188,Tunis,El Kabaria
188,Non,Non,Non,Non,2.15883,189,Tunis,Djebel Djelloud
189,Non,Non,Non,Non,2.12864,190,Tunis,La Goulette
190,NSP,"Oui, une voiture personelle",Non,Non,2.59911,191,Tunis,Ettahrir
191,Non,"Oui, une voiture personelle",Non,Non,2.27412,192,Tunis,El Menzah
192,Non,"Oui, une voiture de fonction",Non,Non,2.27412,193,Tunis,Ezzouhour
193,NSP,Non,Non,Non,2.4257,194,Tunis,Carthage
194,Non,Non,Non,Non,2.12864,195,Tunis,La  Medina
195,Non,Non,Non,Non,2.27412,196,Tunis,Bab Souika
196,Non,Non,Non,Non,2.4257,197,Tunis,El Omrane
197,Non,Non,Non,Non,2.87869,198,Tunis,El Omrane
198,Non,"Oui, une voiture personelle",Non,Non,2.32634,199,Tunis,El Menzah
199,Non,"Oui, une voiture personelle",Non,Non,2.87869,200,Tunis,El Menzah
200,Non,Non,Non,Non,2.4257,201,Tunis,Le Bardo
201,Non,"Oui, une voiture personelle",Non,Non,2.87869,202,Tunis,Ezzouhour
202,Non,"Oui, une voiture personelle",Oui,Non,2.4257,203,Tunis,El Hrairia
203,Non,Non,Non,Non,2.87869,204,Tunis,El Hrairia
204,Non,"Oui, une voiture personelle",Non,Non,2.87869,205,Tunis,El Kabaria
205,Oui,"Oui, une voiture personelle",Non,Non,2.32634,206,Tunis,Le Kram
206,Non,"Oui, une voiture personelle",Non,Non,2.4257,207,Tunis,La Marsa
207,Non,"Oui, une voiture personelle",Non,Non,2.4257,208,Tunis,La Marsa
208,Non,Non,Non,Non,2.12864,209,Tunis,La Marsa
209,Non,Non,Non,Non,2.32634,210,Tunis,La Marsa
210,NSP,Non,Non,Non,2.15883,211,Tunis,Cité El Khadhra
211,Non,Non,Non,Non,2.27412,212,Tunis,Sidi Hassine
212,Non,"Oui, une voiture personelle",Non,Non,2.87869,213,Tunis,Ettahrir
213,Non,"Oui, une voiture personelle",Oui,Non,2.12864,214,Tunis,El Menzah
214,Non,"Oui, une voiture personelle",Non,Non,2.12864,215,Tunis,Cité El Khadhra
215,Non,"Oui, une voiture de fonction",Non,Non,2.12864,216,Tunis,La Goulette
216,Non,Non,Non,Non,2.32634,217,Tunis,Le Bardo
217,Non,"Oui, une voiture personelle",Non,Non,2.32634,218,Tunis,Djebel Djelloud
218,NSP,"Oui, une voiture personelle",Non,Non,2.27412,219,Tunis,Bab Bhar
219,Non,"Oui, une voiture personelle",Non,Non,2.15883,220,Tunis,Bab Bhar
220,Oui,"Oui, une voiture personelle",Oui,Oui,2.4257,221,Tunis,Carthage
221,Non,Non,Non,Non,2.4257,222,Tunis,Bab Bhar
222,Oui,Non,Non,Non,2.4257,223,Tunis,Bab Souika
223,Non,Non,Non,Non,2.4257,224,Tunis,Bab Souika
224,Non,"Oui, une voiture personelle",Non,Non,2.4257,225,Tunis,El Omrane Supérieur
225,Non,"Oui, une voiture personelle",Non,Non,2.4257,226,Tunis,El Omrane Supérieur
226,Non,"Oui, une voiture personelle",Non,Non,2.59911,227,Tunis,El Menzah
227,Non,"Oui, une voiture personelle",Non,Oui,2.59911,228,Tunis,El Menzah
228,Non,Non,Non,Non,2.4257,229,Tunis,El Menzah
229,Non,"Oui, une voiture personelle",Oui,Non,2.4257,230,Tunis,Cité El Khadhra
230,Non,"Oui, une voiture personelle",Non,Oui,2.4257,231,Tunis,Cité El Khadhra
231,Non,Non,Non,Non,2.59911,232,Tunis,Cité El Khadhra
232,Non,"Oui, une voiture personelle",Non,Non,2.4257,233,Tunis,Le Bardo
233,Non,"Oui, une voiture personelle",Non,Oui,2.4257,234,Tunis,Le Bardo
234,Non,Non,Non,Oui,2.59911,235,Tunis,Le Bardo
235,Non,Non,Non,Non,2.4257,236,Tunis,Ezzouhour
236,Non,Non,Non,Non,2.4257,237,Tunis,El Hrairia
237,Non,Non,Non,Non,2.4257,238,Tunis,El Hrairia
238,NSP,Non,Non,Non,2.59911,239,Tunis,El Hrairia
239,Non,"Oui, une voiture personelle",Non,Non,2.59911,240,Tunis,Sidi Hassine
240,Non,Non,Non,Non,2.4257,241,Tunis,Sidi Hassine
241,Non,Non,Non,Non,2.4257,242,Tunis,Sidi Hassine
242,Non,"Oui, une voiture personelle",Non,Non,2.4257,243,Tunis,El Ouardia
243,Non,Non,Non,Non,2.59911,244,Tunis,El Ouardia
244,Non,Non,Non,Non,2.4257,245,Tunis,El Kabaria
245,Non,Non,Non,Non,2.4257,246,Tunis,El Kabaria
246,Non,Non,Non,Non,2.4257,247,Tunis,El Kabaria
247,Non,Non,Non,Non,2.4257,248,Tunis,Sidi El Béchir
248,Non,Non,Non,Non,2.59911,249,Tunis,Djebel Djelloud
249,Oui,"Oui, une voiture personelle",Non,Non,2.4257,250,Tunis,La Goulette
250,Non,Non,Non,Oui,2.4257,251,Tunis,Le Kram
251,Non,Non,Non,Non,2.4257,252,Tunis,Le Kram
252,Non,Non,Non,Non,2.4257,253,Tunis,Le Kram
253,Oui,"Oui, une voiture personelle",Oui,Non,2.4257,254,Tunis,La Marsa
254,Non,"Oui, une voiture personelle",Non,Non,2.93786,255,Tunis,Carthage
255,Non,Non,Non,Non,2.59911,256,Tunis,La  Medina
256,Non,Non,Non,Non,2.59911,257,Tunis,Bab Bhar
257,Oui,"Oui, une voiture de fonction",Non,Non,2.27412,258,Tunis,El Omrane Supérieur
258,Non,Non,Non,Non,2.87869,259,Tunis,El Omrane Supérieur
259,Non,Non,Non,Non,2.15883,260,Tunis,El Menzah
260,Non,Non,Non,Non,2.15883,261,Tunis,Le Bardo
261,Non,Non,Non,Non,2.59911,262,Tunis,Le Bardo
262,Non,Non,Non,Non,2.4257,263,Tunis,Sijoumi
263,Non,Non,Non,Non,2.93786,264,Tunis,Sijoumi
264,Non,"Oui, une voiture personelle",Non,Non,2.15883,265,Tunis,El Hrairia
265,Non,Non,Non,Non,2.32634,266,Tunis,El Hrairia
266,Non,Non,Non,Non,2.15883,267,Tunis,Sidi Hassine
267,Non,Non,Non,Non,2.59911,268,Tunis,Sidi Hassine
268,Non,"Oui, une voiture personelle",Non,Non,2.59911,269,Tunis,El Kabaria
269,Non,Non,Non,Non,2.15883,270,Tunis,El Kabaria
270,Non,Non,Non,Non,2.27412,271,Tunis,El Kabaria
271,Non,Non,Non,Non,2.93786,272,Tunis,El Kabaria
272,Non,Non,Non,Non,2.59911,273,Tunis,El Kabaria
273,Non,Non,Non,Non,2.59911,274,Tunis,Sidi El Béchir
274,Non,Non,Non,Non,2.15883,275,Tunis,Djebel Djelloud
275,Non,Non,Non,Non,2.59911,276,Tunis,La Goulette
276,Non,"Oui, une voiture personelle",Non,Non,2.32634,277,Tunis,Le Kram
277,NSP,"Oui, une voiture personelle",Non,Non,2.59911,278,Tunis,La Marsa
278,Non,Non,Non,NSP,2.59911,279,Tunis,La Marsa
279,Non,Non,Non,Non,2.15883,280,Tunis,Le Bardo
280,Non,Non,Non,Non,2.12864,281,Tunis,Le Bardo
281,Non,Non,Non,Non,2.87869,282,Tunis,El Hrairia
282,Non,"Oui, une voiture personelle",Non,Non,2.12864,283,Tunis,El Kabaria
283,Non,Non,Non,Non,2.12864,284,Tunis,El Kabaria
284,Non,Non,Non,Non,2.4257,285,Tunis,El Kabaria
285,NSP,Non,Non,Non,2.15883,286,Tunis,Sidi El Béchir
286,Non,Non,Non,Non,2.4257,287,Tunis,Sidi El Béchir
287,NSP,"Oui, une voiture personelle",Non,Non,2.93786,288,Tunis,La Goulette
288,NSP,Non,Non,Non,2.15883,289,Tunis,Le Kram
289,NSP,"Oui, une voiture de fonction",Non,Non,2.27412,290,Tunis,Le Bardo
290,Non,"Oui, une voiture personelle",Non,Non,2.87869,291,Tunis,Sidi Hassine
291,NSP,Non,Non,Non,2.32634,292,Tunis,El Ouardia
292,Non,"Oui, une voiture personelle",Non,Non,2.59911,293,Tunis,El Omrane
293,Non,"Oui, une voiture personelle",Non,Non,2.59911,294,Tunis,Le Bardo
294,Non,Non,Non,Non,2.59911,295,Tunis,El Hrairia
295,NSP,Non,Non,Non,2.59911,296,Tunis,El Omrane
296,Non,"Oui, une voiture personelle",Non,Non,2.59911,297,Tunis,El Omrane Supérieur
297,NSP,"Oui, une voiture personelle",Non,Non,2.59911,298,Tunis,El Omrane Supérieur
298,Non,Non,Non,Non,2.59911,299,Tunis,Ezzouhour
299,Non,Non,Non,Non,2.59911,300,Tunis,El Hrairia
300,NSP,Non,Non,Non,2.59911,301,Tunis,El Hrairia
301,Non,Non,Non,Non,2.59911,302,Tunis,Sidi Hassine
302,Non,Non,Non,Non,2.59911,303,Tunis,El Ouardia
303,Oui,Non,Non,Non,2.27412,304,Tunis,Djebel Djelloud
304,NSP,Non,Non,Non,2.59911,305,Tunis,La Goulette
305,Non,Non,Non,Non,2.59911,306,Tunis,La Marsa
306,Non,Non,Non,Non,2.32634,307,Tunis,Ezzouhour
307,Non,Non,Non,Non,2.59911,308,Tunis,Ezzouhour
308,Non,Non,Non,Non,2.27412,309,Tunis,El Kabaria
309,Non,Non,Non,Non,2.59911,310,Tunis,El Kabaria
310,NSP,Non,Non,Non,2.59911,311,Tunis,Le Kram
311,Non,"Oui, une voiture personelle",Non,Non,2.15883,312,Tunis,La  Medina
312,Non,Non,Non,Non,2.93786,313,Tunis,La  Medina
313,Non,Non,Non,Non,2.15883,314,Tunis,Bab Bhar
314,Non,Non,Non,Non,2.59911,315,Tunis,Bab Bhar
315,Non,Non,Non,Non,2.93786,316,Tunis,Bab Bhar
316,Non,"Oui, une voiture personelle",Non,Non,2.15883,317,Tunis,Bab Souika
317,Non,"Oui, une voiture personelle",Non,Non,2.59911,318,Tunis,El Omrane Supérieur
318,Non,"Oui, une voiture personelle",Non,Non,2.27412,319,Tunis,El Omrane Supérieur
319,Non,"Oui, une voiture personelle",Non,Non,2.15883,320,Tunis,El Omrane Supérieur
320,Non,Non,Non,Non,2.15883,321,Tunis,El Omrane Supérieur
321,Non,Non,Non,Non,2.32634,322,Tunis,El Omrane Supérieur
322,Non,Non,Non,Non,2.15883,323,Tunis,Ettahrir
323,Non,Non,Non,Non,2.32634,324,Tunis,El Menzah
324,Non,Non,Non,Oui,2.15883,325,Tunis,Le Bardo
325,Non,Non,Non,Non,2.15883,326,Tunis,Le Bardo
326,Non,Non,Non,Non,2.15883,327,Tunis,Sijoumi
327,Non,Non,Non,Non,2.59911,328,Tunis,Sijoumi
328,Non,"Oui, une voiture de fonction",Non,Non,2.93786,329,Tunis,Ezzouhour
329,Non,Non,Non,Non,2.93786,330,Tunis,Ezzouhour
330,Non,Non,Non,Non,2.59911,331,Tunis,El Hrairia
331,Non,Non,Non,Non,2.15883,332,Tunis,El Hrairia
332,Non,Non,Non,Non,2.15883,333,Tunis,El Hrairia
333,Non,Non,Non,Non,2.59911,334,Tunis,El Hrairia
334,Non,Non,Non,Non,2.59911,335,Tunis,Sidi Hassine
335,Non,Non,Non,Non,2.59911,336,Tunis,Sidi Hassine
336,NSP,Non,Non,Non,2.93786,337,Tunis,Sidi Hassine
337,Non,"Oui, une voiture personelle",Non,Non,2.15883,338,Tunis,El Ouardia
338,Non,Non,Non,Non,2.27412,339,Tunis,El Ouardia
339,Non,Non,Non,Non,2.59911,340,Tunis,El Kabaria
340,Non,Non,Non,Non,2.93786,341,Tunis,El Kabaria
341,Non,Non,Non,Non,2.93786,342,Tunis,El Kabaria
342,NSP,Non,Non,Non,2.59911,343,Tunis,Sidi El Béchir
343,Non,"Oui, une voiture personelle",Non,Non,2.59911,344,Tunis,Djebel Djelloud
344,Non,"Oui, une voiture personelle",Oui,Oui,2.15883,345,Tunis,La Goulette
345,Non,Non,Non,Non,2.15883,346,Tunis,La Goulette
346,Non,"Oui, une voiture personelle",Non,Non,2.59911,347,Tunis,Le Kram
347,NSP,"Oui, une voiture personelle",Non,Non,2.32634,348,Tunis,Le Kram
348,Non,"Oui, une voiture personelle",Non,Non,2.59911,349,Tunis,La Marsa
349,Non,Non,Non,Non,2.15883,350,Tunis,La Marsa
350,Non,Non,Non,Non,2.59911,351,Tunis,La Marsa
351,Non,Non,Non,Non,2.12864,352,Tunis,La Marsa
352,Non,Non,Non,Non,2.27412,353,Tunis,Bab Souika
353,Non,Non,Non,Non,2.93786,354,Tunis,El Hrairia
354,Non,Non,Non,Non,2.93786,355,Tunis,El Hrairia
355,NSP,Non,Non,Non,2.27412,356,Tunis,Sidi Hassine
356,Non,Non,Non,Non,2.12864,357,Tunis,Ezzouhour
357,Non,Non,Non,Non,2.87869,358,Tunis,Ezzouhour
358,Oui,Non,Non,Non,2.32634,359,Tunis,El Kabaria
359,Non,Non,Non,Non,2.32634,360,Tunis,El Kabaria
360,Non,Non,Non,Non,2.93786,361,Tunis,Bab Souika
361,Non,Non,Non,Non,2.32634,362,Tunis,El Omrane
362,Non,Non,Non,Non,2.27412,363,Tunis,El Omrane Supérieur
363,Non,Non,Non,Non,2.93786,364,Tunis,El Menzah
364,Non,Non,Non,Non,2.27412,365,Tunis,Sijoumi
365,Non,Non,Non,Non,2.32634,366,Tunis,El Hrairia
366,Non,Non,Non,Non,2.12864,367,Tunis,El Hrairia
367,Non,Non,Non,Non,2.27412,368,Tunis,Sidi Hassine
368,Non,Non,Non,Non,2.59911,369,Tunis,Sidi Hassine
369,Non,Non,Non,Non,2.32634,370,Tunis,El Ouardia
370,Non,"Oui, une voiture personelle",Non,Non,2.93786,371,Tunis,El Kabaria
371,NSP,Non,Non,Non,2.27412,372,Tunis,Sidi El Béchir
