agence,banque,lat,long,geometry,index_right,C_DELEG,OBJECTID,LABEL,C_SECT,LABEL_AR,municipalite,circonscription,gouvernorat,CODE_GOUV,Shape__Area,Shape__Length,delegation,Nearest_Biat,Distance_Km,CONCURRENT LE PLUS PROCHE,BIAT LA PLUS PROCHE
Siège social,biat,36.79836654663086,10.17767238616943,POINT (10.17767238616943 36.79836654663086),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de France,0.1,ubci (0.07Km),Siège social (0.07Km)
Centre d'affaires de tunis,biat,36.7983283996582,10.17984199523926,POINT (10.17984199523926 36.7983283996582),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence du personnel,0.02,biat (0.02Km),Centre d'affaires de tunis (0.02Km)
Agence rue el Jazira 2,biat,36.7945671081543,10.1763334274292,POINT (10.1763334274292 36.7945671081543),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence rue el Jazira 1,0.16,biat (0.16Km),Agence rue el Jazira 2 (0.16Km)
Agence rue el Jazira 1,biat,36.79322052001953,10.17686080932617,POINT (10.17686080932617 36.79322052001953),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence rue el Jazira 2,0.16,bft (0.1Km),Agence rue el Jazira 1 (0.1Km)
Agence rue de Syrie,biat,36.80777359008789,10.18692207336426,POINT (10.18692207336426 36.80777359008789),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Lafayette PP,0.75,attijari (0.43Km),Agence rue de Syrie (0.43Km)
Agence Moncef Bey,biat,36.79023742675781,10.18502998352051,POINT (10.18502998352051 36.79023742675781),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de Carthage,0.38,attijari (0.25Km),Agence Moncef Bey (0.25Km)
Agence Mohamed V,biat,36.81840515136719,10.18237781524658,POINT (10.18237781524658 36.81840515136719),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Galaxie,0.43,baraka (0.08Km),Agence Mohamed V (0.08Km)
Agence Lafayette PP,biat,36.81370162963867,10.1829662322998,POINT (10.1829662322998 36.81370162963867),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Galaxie,0.28,biat (0.0Km),Agence Galaxie (0.28Km)
Agence Lafayette PME,biat,36.81370162963867,10.1829662322998,POINT (10.1829662322998 36.81370162963867),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Galaxie,0.28,biat (0.0Km),Agence Galaxie (0.28Km)
Agence Jamel Abdennaceur,biat,36.79920959472656,10.17835807800293,POINT (10.17835807800293 36.79920959472656),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de France,0.11,uib (0.06Km),Agence Jamel Abdennaceur (0.06Km)
Comptoir international,biat,36.79838562011719,10.18045520782471,POINT (10.18045520782471 36.79838562011719),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence du personnel,0.04,biat (0.04Km),Centre d'affaires de tunis (0.02Km)
Agence Galaxie,biat,36.81496047973633,10.18020248413086,POINT (10.18020248413086 36.81496047973633),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Lafayette PP,0.28,btk (0.09Km),Agence Galaxie (0.09Km)
Agence du personnel,biat,36.79845428466797,10.18000793457031,POINT (10.18000793457031 36.79845428466797),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Centre d'affaires de tunis,0.02,biat (0.02Km),Agence du personnel (0.02Km)
Agence comptoir des particuliers,biat,36.79856491088867,10.17976665496826,POINT (10.17976665496826 36.79856491088867),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence du personnel,0.02,biat (0.0Km),Agence du personnel (0.02Km)
Agence Hedi Chaker,biat,36.81292724609375,10.17719459533691,POINT (10.17719459533691 36.81292724609375),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Galaxie,0.35,ubci (0.21Km),Agence Hedi Chaker (0.21Km)
Agence avenue Habib Bourguiba 4,biat,36.79856491088867,10.17976665496826,POINT (10.17976665496826 36.79856491088867),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence du personnel,0.02,biat (0.0Km),Agence du personnel (0.02Km)
Agence avenue de Paris 2,biat,36.80183792114258,10.18120288848877,POINT (10.18120288848877 36.80183792114258),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de Paris 1,0.01,biat (0.01Km),Agence avenue de Paris 2 (0.01Km)
Agence avenue de Paris 1,biat,36.80172348022461,10.18120288848877,POINT (10.18120288848877 36.80172348022461),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de Paris 2,0.01,biat (0.01Km),Agence avenue de Paris 1 (0.01Km)
Agence avenue de France,biat,36.79916763305664,10.17715263366699,POINT (10.17715263366699 36.79916763305664),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Siège social,0.1,amen (0.02Km),Agence avenue de France (0.02Km)
Agence avenue de Carthage,biat,36.79284286499023,10.18223857879639,POINT (10.18223857879639 36.79284286499023),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Moncef Bey,0.38,ubci (0.16Km),Agence avenue de Carthage (0.16Km)
amen,amen,36.814301,10.182299,POINT (10.182299 36.814301),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Lafayette PP,0.09,biat (0.09Km),Agence Galaxie (0.28Km)
amen,amen,36.813037,10.183921,POINT (10.183921 36.813037),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Lafayette PP,0.11,amen (0.0Km),Agence Lafayette PP (0.11Km)
amen,amen,36.813077,10.183919,POINT (10.183919 36.813077),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Lafayette PP,0.11,amen (0.0Km),Agence Lafayette PP (0.11Km)
amen,amen,36.820507,10.177999,POINT (10.177999 36.820507),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Mohamed V,0.45,ubci (0.05Km),Agence Mohamed V (0.46Km)
amen,amen,36.799344,10.177036,POINT (10.177036 36.799344),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de France,0.02,biat (0.02Km),Siège social (0.1Km)
amen,amen,36.800045,10.186543,POINT (10.186543 36.800045),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de Paris 1,0.51,bt (0.04Km),Agence avenue de Paris 1 (0.53Km)
amen,amen,36.8148507,10.1756573,POINT (10.1756573 36.8148507),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Hedi Chaker,0.25,uib (0.2Km),Agence Galaxie (0.37Km)
amen,amen,36.80553,10.180345,POINT (10.180345 36.80553),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de Paris 2,0.42,attijari (0.07Km),Agence avenue de Paris 2 (0.35Km)
amen,amen,36.797141,10.179441,POINT (10.179441 36.797141),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Centre d'affaires de tunis,0.14,attijari (0.05Km),Centre d'affaires de tunis (0.11Km)
amen,amen,36.8166104,10.1764753,POINT (10.1764753 36.8166104),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Galaxie,0.38,uib (0.01Km),Agence Galaxie (0.37Km)
atb,atb,36.8002764,10.18187779999994,POINT (10.18187779999994 36.8002764),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de Paris 1,0.17,attijari (0.07Km),Agence avenue de Paris 1 (0.15Km)
atb,atb,36.80133259999999,10.18508589999999,POINT (10.18508589999999 36.80133259999999),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de Paris 1,0.35,btk (0.08Km),Agence avenue de Paris 1 (0.41Km)
atb,atb,36.8160499,10.17896099999996,POINT (10.17896099999996 36.8160499),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Galaxie,0.16,btk (0.15Km),Agence Galaxie (0.09Km)
attijari,attijari,36.797309,10.17995999999994,POINT (10.17995999999994 36.797309),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Centre d'affaires de tunis,0.11,amen (0.05Km),Centre d'affaires de tunis (0.14Km)
attijari,attijari,36.81185560459571,10.17498507421874,POINT (10.17498507421874 36.81185560459571),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Hedi Chaker,0.23,attijari (0.0Km),Agence Hedi Chaker (0.23Km)
attijari,attijari,36.810539,10.17984000000001,POINT (10.17984000000001 36.810539),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Hedi Chaker,0.35,tsb (0.11Km),Agence Hedi Chaker (0.31Km)
attijari,attijari,36.800394,10.18108600000005,POINT (10.18108600000005 36.800394),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de Paris 1,0.15,attijari (0.02Km),Agence avenue de Paris 1 (0.17Km)
attijari,attijari,36.822141,10.17923099999996,POINT (10.17923099999996 36.822141),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Mohamed V,0.5,bte (0.05Km),Agence Mohamed V (0.47Km)
attijari,attijari,36.81185560459571,10.17498507421874,POINT (10.17498507421874 36.81185560459571),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Hedi Chaker,0.23,attijari (0.0Km),Agence Hedi Chaker (0.23Km)
attijari,attijari,36.795703,10.18184799999995,POINT (10.18184799999995 36.795703),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de Carthage,0.32,bna (0.07Km),Comptoir international (0.28Km)
attijari,attijari,36.800228,10.18113399999993,POINT (10.18113399999993 36.800228),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de Paris 1,0.17,attijari (0.02Km),Agence avenue de Paris 1 (0.15Km)
attijari,attijari,36.799655,10.18233599999996,POINT (10.18233599999996 36.799655),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Comptoir international,0.22,atb (0.08Km),Agence avenue de Paris 1 (0.17Km)
attijari,attijari,36.81185560459571,10.17498507421874,POINT (10.17498507421874 36.81185560459571),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Hedi Chaker,0.23,attijari (0.0Km),Agence Hedi Chaker (0.23Km)
attijari,attijari,36.81185560459571,10.17498507421874,POINT (10.17498507421874 36.81185560459571),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Hedi Chaker,0.23,attijari (0.0Km),Agence Hedi Chaker (0.23Km)
attijari,attijari,36.800378,10.180651,POINT (10.180651 36.800378),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de Paris 1,0.16,attijari (0.04Km),Agence avenue de Paris 1 (0.15Km)
attijari,attijari,36.81185560459571,10.17498507421874,POINT (10.17498507421874 36.81185560459571),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Hedi Chaker,0.23,attijari (0.0Km),Agence Hedi Chaker (0.23Km)
attijari,attijari,36.820889,10.17842399999995,POINT (10.17842399999995 36.820889),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Mohamed V,0.45,ubci (0.01Km),Agence Mohamed V (0.46Km)
attijari,attijari,36.792507,10.18532200000004,POINT (10.18532200000004 36.792507),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Moncef Bey,0.25,bna (0.05Km),Agence Moncef Bey (0.25Km)
attijari,attijari,36.80499,10.18063499999994,POINT (10.18063499999994 36.80499),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de Paris 2,0.35,amen (0.07Km),Agence avenue de Paris 2 (0.42Km)
attijari,attijari,36.81185560459571,10.17498507421874,POINT (10.17498507421874 36.81185560459571),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Hedi Chaker,0.23,attijari (0.0Km),Agence Hedi Chaker (0.23Km)
attijari,attijari,36.81185560459571,10.17498507421874,POINT (10.17498507421874 36.81185560459571),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Hedi Chaker,0.23,attijari (0.0Km),Agence Hedi Chaker (0.23Km)
attijari,attijari,36.81185560459571,10.17498507421874,POINT (10.17498507421874 36.81185560459571),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Hedi Chaker,0.23,attijari (0.0Km),Agence Hedi Chaker (0.23Km)
attijari,attijari,36.81185560459571,10.17498507421874,POINT (10.17498507421874 36.81185560459571),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Hedi Chaker,0.23,attijari (0.0Km),Agence Hedi Chaker (0.23Km)
attijari,attijari,36.81185560459571,10.17498507421874,POINT (10.17498507421874 36.81185560459571),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Hedi Chaker,0.23,attijari (0.0Km),Agence Hedi Chaker (0.23Km)
attijari,attijari,36.81185560459571,10.17498507421874,POINT (10.17498507421874 36.81185560459571),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Hedi Chaker,0.23,attijari (0.0Km),Agence Hedi Chaker (0.23Km)
attijari,attijari,36.808464,10.18216200000006,POINT (10.18216200000006 36.808464),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence rue de Syrie,0.43,bt (0.19Km),Agence Hedi Chaker (0.58Km)
baraka,baraka,36.817704,10.182012,POINT (10.182012 36.817704),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Mohamed V,0.08,biat (0.08Km),Agence Galaxie (0.43Km)
bh,bh,36.8057259,10.1755821,POINT (10.1755821 36.8057259),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Hafsia,0.42,bna (0.19Km),Agence avenue de Paris 2 (0.53Km)
bh,bh,36.7963271,10.1806074,POINT (10.1806074 36.7963271),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Comptoir international,0.23,attijari (0.12Km),Centre d'affaires de tunis (0.11Km)
bh,bh,36.795483,10.1796997,POINT (10.1796997 36.795483),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence rue el Jazira 2,0.32,bh (0.12Km),Comptoir international (0.23Km)
bh,bh,36.81125,10.1748113,POINT (10.1748113 36.81125),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Hedi Chaker,0.28,attijari (0.07Km),Agence Hedi Chaker (0.23Km)
bh,bh,36.8000314,10.1792507,POINT (10.1792507 36.8000314),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Jamel Abdennaceur,0.12,uib (0.06Km),Agence Jamel Abdennaceur (0.06Km)
bna,bna,36.80128896970741,10.18131702327878,POINT (10.18131702327878 36.80128896970741),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de Paris 1,0.05,biat (0.05Km),Agence avenue de Paris 2 (0.01Km)
bna,bna,36.81226115926069,10.17950480123966,POINT (10.17950480123966 36.81226115926069),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Hedi Chaker,0.22,ubci (0.01Km),Agence Hedi Chaker (0.21Km)
bna,bna,36.813549,10.181035,POINT (10.181035 36.813549),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Lafayette PP,0.17,qnb (0.06Km),Agence Galaxie (0.17Km)
bna,bna,36.80570061694058,10.17768626352756,POINT (10.17768626352756 36.80570061694058),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de Paris 2,0.53,bh (0.19Km),Agence Hafsia (0.42Km)
bna,bna,36.79240696371211,10.1859130255699,POINT (10.1859130255699 36.79240696371211),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Moncef Bey,0.25,attijari (0.05Km),Agence Moncef Bey (0.25Km)
bna,bna,36.79626886573971,10.18213379306792,POINT (10.18213379306792 36.79626886573971),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Comptoir international,0.28,attijari (0.07Km),Agence avenue de Carthage (0.32Km)
bna,bna,36.79800978605841,10.17565314909427,POINT (10.17565314909427 36.79800978605841),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Siège social,0.18,zitouna (0.02Km),Siège social (0.2Km)
bna,bna,36.80006614128747,10.18118697328566,POINT (10.18118697328566 36.80006614128747),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de Paris 1,0.18,attijari (0.02Km),Agence avenue de Paris 1 (0.17Km)
bt,bt,36.800183,10.178259,POINT (10.178259 36.800183),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Jamel Abdennaceur,0.11,zitouna (0.05Km),Agence Jamel Abdennaceur (0.07Km)
bt,bt,36.800454,10.186279,POINT (10.186279 36.800454),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de Paris 1,0.47,amen (0.05Km),Agence avenue de Paris 1 (0.51Km)
bt,bt,36.799663,10.186601,POINT (10.186601 36.799663),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de Paris 1,0.53,amen (0.04Km),Agence avenue de Paris 1 (0.51Km)
bt,bt,36.80920029,10.17500019,POINT (10.17500019 36.80920029),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Hedi Chaker,0.46,bh (0.23Km),Agence Hedi Chaker (0.28Km)
bt,bt,36.799767,10.176795,POINT (10.176795 36.799767),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de France,0.07,amen (0.05Km),Agence avenue de France (0.02Km)
bt,bt,36.80820084,10.18000031,POINT (10.18000031 36.80820084),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Hedi Chaker,0.58,zitouna (0.03Km),Agence Hedi Chaker (0.61Km)
btk,btk,36.8017081,10.1858175,POINT (10.1858175 36.8017081),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de Paris 1,0.41,atb (0.08Km),Agence avenue de Paris 1 (0.35Km)
btk,btk,36.7993585,10.1812363,POINT (10.1812363 36.7993585),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Comptoir international,0.13,bna (0.08Km),Agence avenue de Paris 1 (0.18Km)
btk,btk,36.8147563,10.17923,POINT (10.17923 36.8147563),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Galaxie,0.09,biat (0.09Km),Agence Lafayette PP (0.28Km)
bts,bts,36.81298201668535,10.18427588045597,POINT (10.18427588045597 36.81298201668535),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Lafayette PP,0.14,amen (0.03Km),Agence Lafayette PP (0.11Km)
bts,bts,36.79466334065417,10.18205165863037,POINT (10.18205165863037 36.79466334065417),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de Carthage,0.2,uib (0.04Km),Agence avenue de Carthage (0.24Km)
qnb,qnb,36.820789,10.180441,POINT (10.180441 36.820789),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Mohamed V,0.32,zitouna (0.08Km),Agence Mohamed V (0.25Km)
qnb,qnb,36.813451,10.180333,POINT (10.180333 36.813451),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Galaxie,0.17,bna (0.06Km),Agence Lafayette PP (0.17Km)
stb,stb,36.8002675,10.18536470000004,POINT (10.18536470000004 36.8002675),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de Paris 1,0.4,ubci (0.07Km),Agence avenue de Paris 1 (0.48Km)
tsb,tsb,36.8103813,10.1785819,POINT (10.1785819 36.8103813),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Hedi Chaker,0.31,attijari (0.11Km),Agence Hedi Chaker (0.35Km)
ubci,ubci,36.799291,10.179881,POINT (10.179881 36.799291),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence comptoir des particuliers,0.08,biat (0.08Km),Agence du personnel (0.02Km)
ubci,ubci,36.794256,10.1821837,POINT (10.1821837 36.794256),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de Carthage,0.16,bts (0.05Km),Agence avenue de Carthage (0.2Km)
ubci,ubci,36.799875,10.186018,POINT (10.186018 36.799875),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de Paris 1,0.48,amen (0.05Km),Agence avenue de Paris 1 (0.51Km)
